Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"A Soukkou, S Leulmi, A Khellaf","How to optimize the TS‐fuzzy knowledge base to achieve desired performances: Accuracy and robustness",2008,"Optimal Control Applications …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/oca.811","https://scholar.google.com/scholar?cites=3589883400390951980&as_sdt=2005&sciodt=2007&hl=en",1,"2022-07-13 09:08:01","","10.1002/oca.811","","",,,,,3,0.21,1,3,14,"… DOI: 10.1002/oca.811 How to optimize the TS-fuzzy knowledge base to achieve desired performances: Accuracy and robustness A. Soukkou1,∗,† , S. Leulmi2 and A. Khellaf3 …","https://scholar.google.com/scholar?output=instlink&q=info:LMRfwe7T0TEJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=12182503764648617640&oi=lle","https://scholar.google.com/scholar?q=related:LMRfwe7T0TEJ:scholar.google.com/&scioq=%22robustness%22+%22artificial+intelligence%22+%22knowledge+base%22&hl=en&as_sdt=2007"
4,"PA Duboue, MA Domínguez…","Evaluating robustness of referring expression generation algorithms",2015,"… on Artificial Intelligence …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7429409/","https://scholar.google.com/scholar?cites=10130932839575797046&as_sdt=2005&sciodt=2007&hl=en",2,"2022-07-13 09:08:01","","","","",,,,,4,0.57,1,3,7,"… is a freely available knowledge base containing information … which we will measure robustness, defined here … 2015 Fourteenth Mexican International Conference on Artificial Intelligence …","http://www.duboue.net/pablo/papers/MICAI2015Robustness.pdf","https://scholar.google.com/scholar?q=related:Nj1B2r1NmIwJ:scholar.google.com/&scioq=%22robustness%22+%22artificial+intelligence%22+%22knowledge+base%22&hl=en&as_sdt=2007"
0,"M Alberti, F Bobot, Z Chihani, J Girard-Satabin…","CAISAR: A platform for Characterizing Artificial Intelligence Safety and Robustness",2022,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2206.03044","",3,"2022-07-13 09:08:01","","","","",,,,,0,0.00,0,5,1,"… provide a verification environ- ment for Artificial Intelligence (AI) based … coverage, suitability to a given distribu- tion, robustness) … next ones, gradually building a knowledge base that is …","https://arxiv.org/pdf/2206.03044","https://scholar.google.com/scholar?q=related:18Io160on44J:scholar.google.com/&scioq=%22robustness%22+%22artificial+intelligence%22+%22knowledge+base%22&hl=en&as_sdt=2007"
3,"H Kazi, P Haddawy, S Suebnukarn","Enriching solution space for robustness in an intelligent tutoring system",2007,"… IN ARTIFICIAL INTELLIGENCE …","academia.edu","https://www.academia.edu/download/51892461/Enriching_Solution_Space_for_Robustness_20170221-21401-wd53av.pdf","https://scholar.google.com/scholar?cites=15571782900685067020&as_sdt=2005&sciodt=2007&hl=en",4,"2022-07-13 09:08:01","PDF","","","",,,,,3,0.20,1,3,15,"… of existing knowledge structure, to enhance robustness in an … plausible hypotheses, by expanding the knowledge base and using … Artificial Intelligence in Medicine, 2006, 36 (1), 85-117 …","https://www.academia.edu/download/51892461/Enriching_Solution_Space_for_Robustness_20170221-21401-wd53av.pdf","https://scholar.google.com/scholar?q=related:DNPVmgsWGtgJ:scholar.google.com/&scioq=%22robustness%22+%22artificial+intelligence%22+%22knowledge+base%22&hl=en&as_sdt=2007"
35,"P Pezeshkpour, Y Tian, S Singh","Investigating robustness and interpretability of link prediction via adversarial modifications",2019,"arXiv preprint arXiv:1905.00563","arxiv.org","https://arxiv.org/abs/1905.00563","https://scholar.google.com/scholar?cites=9108232326446243036&as_sdt=2005&sciodt=2007&hl=en",5,"2022-07-13 09:08:01","","","","",,,,,35,11.67,12,3,3,"… We use these tech- niques to evaluate the robustness of link predic- tion models (by … by iden- tifying the most influential neighbors), and de- tect incorrect facts in the knowledge base …","https://arxiv.org/pdf/1905.00563","https://scholar.google.com/scholar?q=related:3NyOHQvxZn4J:scholar.google.com/&scioq=%22robustness%22+%22artificial+intelligence%22+%22knowledge+base%22&hl=en&as_sdt=2007"
5,"PA Duboue, MA Domínguez","Using robustness to learn to order semantic properties in referring expression generation",2016,"… Conference on Artificial Intelligence","Springer","https://link.springer.com/chapter/10.1007/978-3-319-47955-2_14","https://scholar.google.com/scholar?cites=16727950872118766520&as_sdt=2005&sciodt=2007&hl=en",6,"2022-07-13 09:08:01","","10.1007/978-3-319-47955-2_14","","",,,,,5,0.83,3,2,6,"… Domínguez, M., Estrella, P.: Evaluating robustness of referring … Mexican International Conference on Artificial Intelligence 2015 … a large-scale, multilingual knowledge base extracted from …","http://www.duboue.net/pablo/papers/Iberamia2016ordering-slides.pdf","https://scholar.google.com/scholar?q=related:uCvTkLCeJegJ:scholar.google.com/&scioq=%22robustness%22+%22artificial+intelligence%22+%22knowledge+base%22&hl=en&as_sdt=2007"
0,"L Gong, X Zhang, L Li","An Artificial Intelligence Fusion Model for Cardiac Emergency Decision Making: Application and Robustness Analysis",2020,"JMIR Medical Informatics","medinform.jmir.org","https://medinform.jmir.org/2020/7/e19428","",7,"2022-07-13 09:08:01","HTML","","","",,,,,0,0.00,0,3,2,"Background: During cardiac emergency medical treatment, reducing the incidence of avoidable adverse events, ensuring the safety of patients, and generally improving the quality and efficiency …","https://medinform.jmir.org/2020/7/e19428","https://scholar.google.com/scholar?q=related:czVJM7xZ818J:scholar.google.com/&scioq=%22robustness%22+%22artificial+intelligence%22+%22knowledge+base%22&hl=en&as_sdt=2007"
179,"CA Kulikowski","Artificial intelligence methods and systems for medical consultation",1980,"IEEE Transactions on pattern analysis and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6592368/","https://scholar.google.com/scholar?cites=494479370132262906&as_sdt=2005&sciodt=2007&hl=en",8,"2022-07-13 09:08:01","","","","",,,,,179,4.26,179,1,42,"… The need to justify deci sions and update the knowledge base in the … sight that has resulted from the design of several artificial intelligence systems is that robustness of performance …","","https://scholar.google.com/scholar?q=related:-g9-BV6-3AYJ:scholar.google.com/&scioq=%22robustness%22+%22artificial+intelligence%22+%22knowledge+base%22&hl=en&as_sdt=2007"
5,"H Kazi, P Haddawy, S Suebnukarn","Expanding the plausible solution space for robustness in an intelligent tutoring system",2008,"International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-540-69132-7_61","https://scholar.google.com/scholar?cites=11767989903391570712&as_sdt=2005&sciodt=2007&hl=en",9,"2022-07-13 09:08:01","","10.1007/978-3-540-69132-7_61","","",,,,,5,0.36,2,3,14,"… 2. Expert Solutions merged into the expert knowledge base … Expanding the Plausible Solution Space for Robustness in an … In: Szolovits, P. (ed.) Artificial Intelligence in Medi- cine, ch.5 …","https://www.academia.edu/download/72129685/Expanding_the_Plausible_Solution_Space_f20211010-2447-1o7yr01.pdf","https://scholar.google.com/scholar?q=related:GLsJuHdMUKMJ:scholar.google.com/&scioq=%22robustness%22+%22artificial+intelligence%22+%22knowledge+base%22&hl=en&as_sdt=2007"
316,"ML Brodie, J Mylopoulos","On knowledge base management systems: integrating artificial intelligence and database technologies",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=AMrcBwAAQBAJ&oi=fnd&pg=PR9&dq=%22robustness%22+%22artificial+intelligence%22+%22knowledge+base%22&ots=_RDV-cz9cP&sig=rcecXTNoOjwDYlVJtcxTODXkH1U","https://scholar.google.com/scholar?cites=9640991983821606207&as_sdt=2005&sciodt=2007&hl=en",10,"2022-07-13 09:08:01","BOOK","","","",,,,,316,31.60,158,2,10,"… a technology for building large-scale knowledge base system applications … the interest in interactions between Artificial Intelligence (AI) and … it must ensure the robustness of information …","","https://scholar.google.com/scholar?q=related:P00TDiGvy4UJ:scholar.google.com/&scioq=%22robustness%22+%22artificial+intelligence%22+%22knowledge+base%22&hl=en&as_sdt=2007"
