Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"D Kerrigan, J Hullman, E Bertini","A survey of domain knowledge elicitation in applied machine learning",2021,"Multimodal Technologies and …","mdpi.com","https://www.mdpi.com/2414-4088/5/12/73","https://scholar.google.com/scholar?cites=10208297076346918721&as_sdt=2005&sciodt=2007&hl=en",1,"2022-07-14 11:46:00","","","","",,,,,2,2.00,1,3,1,"… , knowledge elicitation is also fraught with challenges. In this work, we consider why and how machine learning … researchers can produce more robust, accurate, and trustworthy models. …","https://www.mdpi.com/2414-4088/5/12/73/pdf","https://scholar.google.com/scholar?q=related:QRdR5Rooq40J:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
24,"G D'Angelo, F Palmieri","Knowledge elicitation based on genetic programming for non destructive testing of critical aerospace systems",2020,"Future Generation Computer Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X19306193","https://scholar.google.com/scholar?cites=12909876517995453837&as_sdt=2005&sciodt=2007&hl=en",2,"2022-07-14 11:46:00","","","","",,,,,24,12.00,12,2,2,"… to use materials that are extremely robust and lightweight for … These new approaches (also known as knowledge elicitation-… Clearly, heuristics and machine learning techniques are the …","","https://scholar.google.com/scholar?q=related:jZ1GLUsYKbMJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
4,"SE Hegazy, CD Buckingham","An Algorithm for Robust Relative Influence Values Elicitation (ARRIVE)",2008,"2008 The Third International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4591351/","https://scholar.google.com/scholar?cites=15723639152433983441&as_sdt=2005&sciodt=2007&hl=en",3,"2022-07-14 11:46:00","","","","",,,,,4,0.29,2,2,14,"… Getting them to do it themselves as part of the knowledge elicitation process is an arduous task when the tree may have several thousand nodes. This makes it unlikely that a large …","","https://scholar.google.com/scholar?q=related:0W9AcYCWNdoJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
142,"NM Cooke, JE McDonald","The application of psychological scaling techniques to knowledge elicitation for knowledge-based systems",1987,"International Journal of Man-Machine Studies","Elsevier","https://www.sciencedirect.com/science/article/pii/S002073738780086X","https://scholar.google.com/scholar?cites=12982417197021744485&as_sdt=2005&sciodt=2007&hl=en",4,"2022-07-14 11:46:00","","","","",,,,,142,4.06,71,2,35,"… Also weighted techniques are more robust than non-weighted … is important to distinguish knowledge elicitation (the topic of … further knowledge elicitation or machine learning approaches…","","https://scholar.google.com/scholar?q=related:ZU1nKqjPKrQJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
208,"NR Shadbolt, PR Smart, J Wilson…","Knowledge elicitation",2015,"Evaluation of human …","books.google.com","https://books.google.com/books?hl=en&lr=&id=uXB3CAAAQBAJ&oi=fnd&pg=PA163&dq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&ots=uuBzIlFRwo&sig=mZ5a49Z1N-euPG2TUnI97MGvRz8","https://scholar.google.com/scholar?cites=12053927323090151513&as_sdt=2005&sciodt=2007&hl=en",5,"2022-07-14 11:46:00","","","","",,,,,208,29.71,52,4,7,"… from individuals to build a robust and useful system was a very time-… machine learning techniques in order to improve the quality of the knowledge that results from the machine learning …","https://eprints.soton.ac.uk/359638/1/Knowledge%2520Elicitationv7.pdf","https://scholar.google.com/scholar?q=related:WegpMQknSKcJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
0,"EX Tan, Y Chen, YH Lee, YX Leong, SX Leong…","Incorporating plasmonic featurization with machine learning to achieve accurate and bidirectional prediction of nanoparticle size and size distribution",2022,"Nanoscale …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/nh/d2nh00146b","",6,"2022-07-14 11:46:00","HTML","","","",,,,,0,0.00,0,6,1,"… Knowledge elicitation from the plasmonic domain and its subsequent translation into featurization and machine learning … for accurate, bidirectional, and robust prediction of Au NS size …","https://pubs.rsc.org/en/content/articlehtml/2022/nh/d2nh00146b","https://scholar.google.com/scholar?q=related:P2vdXRJCihEJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
1,"JPBG Morgado","Knowledge elicitation by merging heterogeneous data sources in a die-casting process",2015,"","estudogeral.sib.uc.pt","https://estudogeral.sib.uc.pt/bitstream/10316/39072/1/Knowledge%20elicitation%20by%20merging%20heterogeneous%20data%20sources%20in%20a%20die%20casting%20process.pdf","https://scholar.google.com/scholar?cites=17106106729798641401&as_sdt=2005&sciodt=2007&hl=en",7,"2022-07-14 11:46:00","PDF","","","",,,,,1,0.14,1,1,7,"… Second, using the real data, a robust algorithm to asses the quality rate was developed, due … In this section I list many of the popular machine learning algorithms grouped the way I think …","https://estudogeral.sib.uc.pt/bitstream/10316/39072/1/Knowledge%20elicitation%20by%20merging%20heterogeneous%20data%20sources%20in%20a%20die%20casting%20process.pdf","https://scholar.google.com/scholar?q=related:-SaRT3AZZe0J:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
905,"NJ Cooke","Varieties of knowledge elicitation techniques",1994,"International journal of human-computer studies","Elsevier","https://www.sciencedirect.com/science/article/pii/S1071581984710834","https://scholar.google.com/scholar?cites=7715182747260678091&as_sdt=2005&sciodt=2007&hl=en",8,"2022-07-14 11:46:00","","10.1006/ijhc.1994.1083","","",,,,,905,32.32,905,1,28,"… in knowledge acquisition Knowledge elicitation is the process of … Note that whereas knowledge elicitation is typically a … in cases in which machine learning algcrithms are used to induce …","https://dl.acm.org/doi/abs/10.1006/ijhc.1994.1083","https://scholar.google.com/scholar?q=related:y--x89TVEWsJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
13,"I Yazici, OF Beyca, OF Gurcan, H Zaim, D Delen…","A comparative analysis of machine learning techniques and fuzzy analytic hierarchy process to determine the tacit knowledge criteria",2020,"Annals of Operations …","Springer","https://link.springer.com/article/10.1007/s10479-020-03697-3","https://scholar.google.com/scholar?cites=17130881652830428113&as_sdt=2005&sciodt=2007&hl=en",9,"2022-07-14 11:46:00","","10.1007/s10479-020-03697-3","","",,,,,13,6.50,2,6,2,"… of knowledge elicitation and feature selection methods. Then, the extracted variables were prioritized using machine learning … and from expert-based methods to establish a robust …","","https://scholar.google.com/scholar?q=related:0ds2lhkeve0J:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
0,"P Benjamin, P Koola, S Ramachandran, M Erraguntla…","Adaptive Knowledge Discovery Framework (AKDF)",,"aaai.org","","https://www.aaai.org/Papers/Symposia/Spring/2004/SS-04-04/SS04-04-012.pdf","",10,"2022-07-14 11:46:00","","","","",,,,,0,0.00,0,5,,"… that combines emerging machine learning techniques with … to rapidly deploy this knowledge for robust, real-time decision support … capabilities: (1) Knowledge Elicitation, (2) Knowledge …","",""
85,"N Shadbolt, M Burton","Knowledge elicitation: a systematic approach",1995,"Evaluation of human work: a practical …","books.google.com","https://books.google.com/books?hl=en&lr=&id=_Uq--hONFDUC&oi=fnd&pg=PA406&dq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&ots=JI7vGPCGyt&sig=kRKbn1tlIWE7c3PoNbvy8VVjbS8","https://scholar.google.com/scholar?cites=2154014146187721816&as_sdt=2005&sciodt=2007&hl=en",11,"2022-07-14 11:46:00","","","","",,,,,85,3.15,43,2,27,"… This will help ensure that the results are robust, that they can be used on various experts in … In addition, a powerful machine learning method is included for detecting patterns and rules …","","https://scholar.google.com/scholar?q=related:WHyvGHSY5B0J:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
16,"NM Cooke, JE McDonald","The application of psychological scaling techniques to knowledge elicitation for knowledge-based systems",1988,"Knowledge-Based Systems","Academic Press New York","","https://scholar.google.com/scholar?cites=15514495853637098409&as_sdt=2005&sciodt=2007&hl=en",12,"2022-07-14 11:46:00","CITATION","","","",,,,,16,0.47,8,2,34,"","","https://scholar.google.com/scholar?q=related:qVtPkcePTtcJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
23,"L Paquette, RS Baker","Comparing machine learning to knowledge engineering for student behavior modeling: a case study in gaming the system",2019,"Interactive Learning Environments","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/10494820.2019.1610450","https://scholar.google.com/scholar?cites=6335963414059323724&as_sdt=2005&sciodt=2007&hl=en",13,"2022-07-14 11:46:00","","10.1080/10494820.2019.1610450","","",,,,,23,7.67,12,2,3,"… during the knowledge elicitation process, something that both machine learning (when the … However, additional research will be required to confirm whether this robust model transfer …","https://www.tandfonline.com/doi/pdf/10.1080/10494820.2019.1610450","https://scholar.google.com/scholar?q=related:TJHg3Cfd7VcJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
7,"P Mikkola, OA Martin, S Chandramouli…","Prior knowledge elicitation: The past, present, and future",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2112.01380","https://scholar.google.com/scholar?cites=10800708171690790014&as_sdt=2005&sciodt=2007&hl=en",14,"2022-07-14 11:46:00","","","","",,,,,7,7.00,2,4,1,"… We analyze the state of the art by identifying a range of key aspects of prior knowledge elicitation, from properties of the modelling task and the nature of the priors to the form of …","https://arxiv.org/pdf/2112.01380","https://scholar.google.com/scholar?q=related:fsxJiNvS45UJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
26,"JS Edwards, T Alifantis, RD Hurrion, J Ladbrook…","Using a simulation model for knowledge elicitation and knowledge management",2004,"… Modelling Practice and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1569190X04000723","https://scholar.google.com/scholar?cites=79193250996110522&as_sdt=2005&sciodt=2007&hl=en",15,"2022-07-14 11:46:00","","","","",,,,,26,1.44,5,5,18,"… All of these require some kind of knowledge elicitation … as an input both to a machine learning/rule induction process, … of the process is not sufficiently robust to be able to test whether …","https://publications.aston.ac.uk/id/eprint/2869/1/Simulation_PAT_paper_v3.pdf","https://scholar.google.com/scholar?q=related:ukQ7mtdZGQEJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
24,"O Cocarascu, F Toni","Argumentation for Machine Learning: A Survey.",2016,"COMMA","books.google.com","https://books.google.com/books?hl=en&lr=&id=cRjpDAAAQBAJ&oi=fnd&pg=PA219&dq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&ots=H4ryJZjDN-&sig=ZrYfjLYMkKydS6wf0ojLuW9tkxg","https://scholar.google.com/scholar?cites=16535614811175962009&as_sdt=2005&sciodt=2007&hl=en",16,"2022-07-14 11:46:00","","10.3233/978-1-61499-686-6-219","","",,,,,24,4.00,12,2,6,"… robust in that it is not negatively affected by “bad” domain knowledge. ABML has been shown to support knowledge elicitation … On a medical dataset, this knowledge elicitation-enriched …","https://ebooks.iospress.nl/pdf/doi/10.3233/978-1-61499-686-6-219","https://scholar.google.com/scholar?q=related:mcXUsg9OeuUJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
24,"M McShane, S Nirenburg, J Cowie, R Zacharski","Embedding knowledge elicitation and MT systems within a single architecture",2002,"Machine Translation","Springer","https://link.springer.com/article/10.1023/B:COAT.0000021160.55368.52","https://scholar.google.com/scholar?cites=15690464612375415949&as_sdt=2005&sciodt=2007&hl=en",17,"2022-07-14 11:46:00","","10.1023/B:COAT.0000021160.55368.52","","",,,,,24,1.20,6,4,20,"… A variety of machine learning techniques are being … acquisition paradigm that we call knowledge elicitation (KE).In this … – The system is expected to be robust and to operate …","https://homepages.hass.rpi.edu/mcsham2/MargePapers/McShane_Embedding_2002.pdf","https://scholar.google.com/scholar?q=related:jUx57W66v9kJ:scholar.google.com/&scioq=%22robust%22+%22machine+learning%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
