Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
80,"D Didona, F Quaglia, P Romano, E Torre","Enhancing performance prediction robustness by combining analytical modeling and machine learning",2015,"… conference on performance …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2668930.2688047","https://scholar.google.com/scholar?cites=5784418318153824255&as_sdt=2005&sciodt=2007&hl=en",1,"2022-07-13 11:16:49","","10.1145/2668930.2688047","","",,,,,80,11.43,20,4,7,"… M regressors based on machine learning techniques, which we denote γred. Unlike in KNN, however, these learners are not used to build alternative models of the performance of the …","https://dl.acm.org/doi/pdf/10.1145/2668930.2688047","https://scholar.google.com/scholar?q=related:_zfSLdBhRlAJ:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22performance%22&hl=en&as_sdt=2007"
68,"B Nestor, MBA McDermott, W Boag…","Feature robustness in non-stationary health records: caveats to deployable model performance in common clinical machine learning tasks",2019,"Machine Learning …","proceedings.mlr.press","https://proceedings.mlr.press/v106/nestor19a.html","https://scholar.google.com/scholar?cites=13177983326116162245&as_sdt=2005&sciodt=2007&hl=en",2,"2022-07-13 11:16:49","","","","",,,,,68,22.67,17,4,3,"… experiments have quantified the robustness of state-of-the-art machine learning pipelines to real-… Further, we exposed key problems with the robustness of raw feature representations …","http://proceedings.mlr.press/v106/nestor19a/nestor19a.pdf","https://scholar.google.com/scholar?q=related:xaos4QOa4bYJ:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22performance%22&hl=en&as_sdt=2007"
12,"Z Wu, J Luo, D Rincon, PD Christofides","Machine learning-based predictive control using noisy data: evaluating performance and robustness via a large-scale process simulator",2021,"Chemical Engineering Research …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0263876221000551","https://scholar.google.com/scholar?cites=7225546737827888887&as_sdt=2005&sciodt=2007&hl=en",3,"2022-07-13 11:16:49","","","","",,,,,12,12.00,3,4,1,"… Machine learning modeling of chemical processes using noisy data is a practically … To evaluate the performance and robustness of the proposed modeling approaches, we consider an …","https://www.sciencedirect.com/science/article/am/pii/S0263876221000551","https://scholar.google.com/scholar?q=related:9742uHlMRmQJ:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22performance%22&hl=en&as_sdt=2007"
82,"J Rauber, R Zimmermann, M Bethge…","Foolbox native: Fast adversarial attacks to benchmark the robustness of machine learning models in pytorch, tensorflow, and jax",2020,"Journal of Open Source …","joss.theoj.org","https://joss.theoj.org/papers/10.21105/joss.02607.pdf","https://scholar.google.com/scholar?cites=4392337630012584625&as_sdt=2005&sciodt=2007&hl=en",4,"2022-07-13 11:16:49","PDF","10.21105/joss.02607","","",,,,,82,41.00,21,4,2,"… performance by focusing soley on PyTorch. Foolbox Native is our attempt to improve the performance … the robustness of different machine learning models that use different frameworks. …","https://joss.theoj.org/papers/10.21105/joss.02607.pdf","https://scholar.google.com/scholar?q=related:sTJ7is239DwJ:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22performance%22&hl=en&as_sdt=2007"
26,"GN Yannakakis, J Levine, J Hallam, M Papageorgiou","Performance, robustness and effort cost comparison of machine learning mechanisms in FlatLand",2003,"","um.edu.mt","https://www.um.edu.mt/library/oar/handle/123456789/29600","https://scholar.google.com/scholar?cites=9988292863082362134&as_sdt=2005&sciodt=2007&hl=en",5,"2022-07-13 11:16:49","","","","",,,,,26,1.37,7,4,19,"This paper presents the first stage of research into a multi-agent complex environment, called “FlatLand” aiming at emerging complex and adaptive obstacle-avoidance and target …","https://www.um.edu.mt/library/oar/bitstream/123456789/29600/1/Performance_robustness_and_effort_cost_comparison_of_machine_learning_mechanisms_in_FlatLand.pdf","https://scholar.google.com/scholar?q=related:FvWXUHCLnYoJ:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22performance%22&hl=en&as_sdt=2007"
53,"D Simester, A Timoshenko…","Targeting prospective customers: Robustness of machine-learning methods to typical data challenges",2020,"Management …","pubsonline.informs.org","https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2019.3308","https://scholar.google.com/scholar?cites=5076401500050453736&as_sdt=2005&sciodt=2007&hl=en",6,"2022-07-13 11:16:49","","10.1287/mnsc.2019.3308","","",,,,,53,26.50,18,3,2,"… performance than the classification methods. In the next section, we investigate the robustness of this finding by reexamining the performance … to evaluate the relative performance of the …","https://dspace.mit.edu/bitstream/handle/1721.1/130508/Targeting%20Prospects%20submission%203.pdf?sequence=2&isAllowed=y","https://scholar.google.com/scholar?q=related:6HTEs0QAc0YJ:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22performance%22&hl=en&as_sdt=2007"
10,"SSF Yip, Z Klanecek, S Naganawa, J Kim, A Studen…","Performance and robustness of machine learning-based radiomic COVID-19 severity prediction",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.09.07.20189977.abstract","https://scholar.google.com/scholar?cites=14872660465033452399&as_sdt=2005&sciodt=2007&hl=en",7,"2022-07-13 11:16:49","","10.1101/2020.09.07.20189977.abstract","","",,,,,10,5.00,2,6,2,"… investigated the performance and robustness of radiomics in … To determine model robustness, the trained models was … Our study investigated the performance and robustness of …","https://www.medrxiv.org/content/10.1101/2020.09.07.20189977.full.pdf","https://scholar.google.com/scholar?q=related:b5tQ6-RNZs4J:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22performance%22&hl=en&as_sdt=2007"
36,"V Sehwag, AN Bhagoji, L Song, C Sitawarin…","Analyzing the robustness of open-world machine learning",2019,"Proceedings of the 12th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3338501.3357372","https://scholar.google.com/scholar?cites=7021653981353276487&as_sdt=2005&sciodt=2007&hl=en",8,"2022-07-13 11:16:49","","10.1145/3338501.3357372","","",,,,,36,12.00,7,5,3,"… the performance of open-world machine learning models … fragile: their detection performance drops drastically with perturbations … Beyond revealing the lack of robustness of current OOD …","https://dl.acm.org/doi/pdf/10.1145/3338501.3357372","https://scholar.google.com/scholar?q=related:R_RE_hftcWEJ:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22performance%22&hl=en&as_sdt=2007"
164,"M Shami, W Verhelst","An evaluation of the robustness of existing supervised machine learning approaches to the classification of emotions in speech",2007,"Speech communication","Elsevier","https://www.sciencedirect.com/science/article/pii/S016763930700009X","https://scholar.google.com/scholar?cites=2356446686077515596&as_sdt=2005&sciodt=2007&hl=en",9,"2022-07-13 11:16:49","","","","",,,,,164,10.93,82,2,15,"… We compare the two approaches considered, the segment-based approach and the AIBO approach, in addition to comparing the performance of three machine learning algorithms: …","https://hal.archives-ouvertes.fr/hal-00499169/document","https://scholar.google.com/scholar?q=related:TPfLp8bHsyAJ:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22performance%22&hl=en&as_sdt=2007"
0,"Y Li","Towards Practical Robustness Evaluation and Robustness Enhancing",2022,"Proceedings of the Fifteenth ACM International …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3488560.3502216","",10,"2022-07-13 11:16:49","","10.1145/3488560.3502216","","",,,,,0,0.00,0,1,1,"… adversarial machine learning, which mainly focus on evaluating model robustness through … Specifically, there are three subtopics: (1) Enhancing robustness performance for adversarial …","","https://scholar.google.com/scholar?q=related:UO7Jx-EuefgJ:scholar.google.com/&scioq=%22robustness%22+%22machine+learning%22+%22performance%22&hl=en&as_sdt=2007"
