Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
73,"W Yan, LP Khoo, CH Chen","A QFD-enabled product conceptualisation approach via design knowledge hierarchy and RCE neural network",2005,"Knowledge-Based Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950705105000377","https://scholar.google.com/scholar?cites=6869844310309970730&as_sdt=2005&sciodt=2007&hl=en",1,"2022-07-13 15:07:03","","","","",,,,,73,4.29,24,3,17,"… , namely, design knowledge elicitation module using … restricted Coulomb energy (RCE) neural network. A case study on … influences the network convergence and robustness. As a result, …","","https://scholar.google.com/scholar?q=related:KqNDkgCXVl8J:scholar.google.com/&scioq=%22robustness%22+%22neural+network%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
49,"LM Brasil, FM de Azevedo, JM Barreto","Hybrid expert system for decision supporting in the medical area: complexity and cognitive computing",2001,"International journal of medical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S138650560100168X","https://scholar.google.com/scholar?cites=8902756674497741526&as_sdt=2005&sciodt=2007&hl=en",2,"2022-07-13 15:07:03","","","","",,,,,49,2.33,16,3,21,"… such as: the knowledge elicitation process, known as the … One of them is used to train the fuzzy neural network and the … to achieve tractability, robustness and low cost solutions to …","https://www.academia.edu/download/53280338/s1386-5056_2801_2900168-x20170525-26382-dxp0pb.pdf","https://scholar.google.com/scholar?q=related:1gIt0QbyjHsJ:scholar.google.com/&scioq=%22robustness%22+%22neural+network%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
174,"A Van Raan, R Tijssen","The neural net of neural network research: An exercise in bibliometric mapping",1993,"Scientometrics","akjournals.com","https://akjournals.com/view/journals/11192/26/1/article-p169.xml","https://scholar.google.com/scholar?cites=6568640792944668119&as_sdt=2005&sciodt=2007&hl=en",3,"2022-07-13 15:07:03","","","","",,,,,174,6.00,87,2,29,"… Extremely important is the robustness of the neural network … marks the onset of a revival in neural network research. … side (knowledge acquisition, knowledge elicitation, reasoning). The …","https://www.researchgate.net/profile/Robert-Tijssen/publication/242915784_The_neural_net_of_neural_network_research/links/563b4c5308aeed0531de5636/The-neural-net-of-neural-network-research.pdf","https://scholar.google.com/scholar?q=related:122bwP9_KFsJ:scholar.google.com/&scioq=%22robustness%22+%22neural+network%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
42,"DT Pham, E Oztemel","An integrated neural network and expert system tool for statistical process control",1995,"Proceedings of the Institution of …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1243/PIME_PROC_1995_209_060_02","https://scholar.google.com/scholar?cites=1930029377239040075&as_sdt=2005&sciodt=2007&hl=en",4,"2022-07-13 15:07:03","","10.1243/PIME_PROC_1995_209_060_02","","",,,,,42,1.56,21,2,27,"… This paper describes the integration of an expert system and a neural-network-based pattern recognizer for analysing and interpreting control charts. The expert system has an on-line …","https://scholar.google.com/scholar?output=instlink&q=info:S8BmLH7XyBoJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=4170687949752372688&oi=lle","https://scholar.google.com/scholar?q=related:S8BmLH7XyBoJ:scholar.google.com/&scioq=%22robustness%22+%22neural+network%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
18,"WJ McCluskey, K Dyson, S Anand…","The mass appraisal of residential property in Northern Ireland",2018,"Computer Assisted Mass …","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9780429461699-3/mass-appraisal-residential-property-northern-ireland-mccluskey-dyson-anand-mcfall","https://scholar.google.com/scholar?cites=14026792184906410563&as_sdt=2005&sciodt=2007&hl=en",5,"2022-07-13 15:07:03","","10.4324/9780429461699-3","","",,,,,18,4.50,5,4,4,"… empirical analysis and finally, the robustness of two of the better … with regards to knowledge elicitation and derivation of both … was obtained firstly by a neural network, namely network 2 …","","https://scholar.google.com/scholar?q=related:Q2qSzywtqcIJ:scholar.google.com/&scioq=%22robustness%22+%22neural+network%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
12,"S Nahavandi, D Creighton, VT Le, M Johnstone…","Future integrated factories: a system of systems engineering perspective",2015,"Integrated Systems …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-15898-3_9","https://scholar.google.com/scholar?cites=11487158594156744074&as_sdt=2005&sciodt=2007&hl=en",6,"2022-07-13 15:07:03","","10.1007/978-3-319-15898-3_9","","",,,,,12,1.71,2,5,7,"… stakeholder engagement and knowledge elicitation to operational … of simulation, providing robustness estimates and an … : Comprehensive review of neural network-based prediction …","","https://scholar.google.com/scholar?q=related:is1JO-GVap8J:scholar.google.com/&scioq=%22robustness%22+%22neural+network%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
21,"LM Brasil, F Mendes de Azevedo, JM Barreto…","Complexity and cognitive computing",1998,"… Conference on Industrial …","Springer","https://link.springer.com/chapter/10.1007/3-540-64582-9_771","https://scholar.google.com/scholar?cites=2225532431584324316&as_sdt=2005&sciodt=2007&hl=en",7,"2022-07-13 15:07:03","","10.1007/3-540-64582-9_771","","",,,,,21,0.88,5,4,24,"… -called bottleneck of expert systems, eg, the knowledge elicitation process; the model choice for the … to achieve tractability, robustness and low cost solutions to engineering problems [1]. …","https://www.researchgate.net/profile/Monique-Noirhomme-Fraiture/publication/229026725_Complexity_and_Cognitive_Computing/links/00b49524be3c1290d5000000/Complexity-and-Cognitive-Computing.pdf","https://scholar.google.com/scholar?q=related:3OqxhPSt4h4J:scholar.google.com/&scioq=%22robustness%22+%22neural+network%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
5,"G Whittington, CT Spracklen…","Automated radar behavior analysis using neural network architectures",1993,"Science of Artificial …","spiedigitallibrary.org","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/1966/0000/Automated-radar-behavior-analysis-using-neural-network-architectures/10.1117/12.152615.short","https://scholar.google.com/scholar?cites=2221622697380786683&as_sdt=2005&sciodt=2007&hl=en",8,"2022-07-13 15:07:03","","10.1117/12.152615.short","","",,,,,5,0.17,2,3,29,"… (iii) Knowledge elicitation. Many hours ofefforthad gone intothe development ofthe rules that formed the existing implementation. However, the continued expenditure of such resources …","https://scholar.google.com/scholar?output=instlink&q=info:-7FTlhLK1B4J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=9398211169470457474&oi=lle","https://scholar.google.com/scholar?q=related:-7FTlhLK1B4J:scholar.google.com/&scioq=%22robustness%22+%22neural+network%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
0,"DT Pham, E Oztemel","Integrated Quality Control Systems",1996,"Intelligent Quality Systems","Springer","https://link.springer.com/chapter/10.1007/978-1-4471-1498-7_5","",9,"2022-07-13 15:07:03","","10.1007/978-1-4471-1498-7_5","","",,,,,0,0.00,0,2,26,"… Require many examples for knowledge elicitation … the operations of the nodes in a neural network. A connection in a … as their flexibility, parallelism and robustness, would be useful to a …","","https://scholar.google.com/scholar?q=related:tMynM6T_x3gJ:scholar.google.com/&scioq=%22robustness%22+%22neural+network%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
154,"A Hart, J Wyatt","Evaluating black-boxes as medical decision aids: issues arising from a study of neural networks",1990,"Medical informatics","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.3109/14639239009025270","https://scholar.google.com/scholar?cites=563670140077496186&as_sdt=2005&sciodt=2007&hl=en",10,"2022-07-13 15:07:03","","10.3109/14639239009025270","","",,,,,154,4.81,77,2,32,"… This applies to the general validity of the model, its robustness and sensitivity to inaccurate … It is not uncommon for a neural network to perform well on a training set but much less well …","https://www.tandfonline.com/doi/pdf/10.3109/14639239009025270","https://scholar.google.com/scholar?q=related:elfQhQGP0gcJ:scholar.google.com/&scioq=%22robustness%22+%22neural+network%22+%22knowledge+elicitation%22&hl=en&as_sdt=2007"
