Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"K. K. H. Ng, C. K. M. Lee, Felix T. S. Chan, Yichen Qin","Robust aircraft sequencing and scheduling problem with arrival/departure delay using the min-max regret approach",2017,"Transportation Research Part E-Logistics And Transportation Review","","","",1,"2022-07-14 14:35:32","Article","10.1016/j.tre.2017.08.006","1366-5545","",106,,115,136,0,0.00,0,4,5,"","",""
0,"Tianzhen Hong, Zhe Wang, Xuan Luo, Wanni Zhang","State-of-the-art on research and applications of machine learning in the building life cycle",2020,"Energy And Buildings","","","",2,"2022-07-14 14:35:32","Review","10.1016/j.enbuild.2020.109831","0378-7788","",212,,,,0,0.00,0,4,2,"","",""
0,"Rajesh Govindan, Tareq Al-Ansari","Computational decision framework for enhancing resilience of the energy, water and food nexus in risky environments",2019,"Renewable & Sustainable Energy Reviews","","","",3,"2022-07-14 14:35:32","Review","10.1016/j.rser.2019.06.015","1364-0321","",112,,653,668,0,0.00,0,2,3,"","",""
0,"Mohammed Falah Allawi, Othman Jaafar, Firdaus Mohamad Hamzah, Sharifah Mastura Syed Abdullah, Ahmed El-shafie","Review on applications of artificial intelligence methods for dam and reservoir-hydro-environment models",2018,"Environmental Science And Pollution Research","","","",4,"2022-07-14 14:35:32","Review","10.1007/s11356-018-1867-8","0944-1344","",25,14,13446,13469,0,0.00,0,5,4,"","",""
0,"R. Rajesh","A grey-layered ANP based decision support model for analyzing strategies of resilience in electronic supply chains",2020,"Engineering Applications Of Artificial Intelligence","","","",5,"2022-07-14 14:35:32","Article","10.1016/j.engappai.2019.103338","0952-1976","",87,,,,0,0.00,0,1,2,"","",""
0,"Jorge Vargas Florez, Matthieu Lauras, Uche Okongwu, Lionel Dupont","A decision support system for robust humanitarian facility location",2015,"Engineering Applications Of Artificial Intelligence","","","",6,"2022-07-14 14:35:32","Article","10.1016/j.engappai.2015.06.020","0952-1976","",46,,326,335,0,0.00,0,4,7,"","",""
0,"Kareem Mostafa, Tarek Hegazy","Review of image-based analysis and applications in construction",2021,"Automation In Construction","","","",7,"2022-07-14 14:35:32","Review","10.1016/j.autcon.2020.103516","0926-5805","",122,,,,0,0.00,0,2,1,"","",""
0,"Yulei Wu","Robust Learning-Enabled Intelligence for the Internet of Things: A Survey From the Perspectives of Noisy Data and Adversarial Examples",2021,"Ieee Internet Of Things Journal","","","",8,"2022-07-14 14:35:32","Article","10.1109/JIOT.2020.3018691","2327-4662","",8,12,9568,9579,0,0.00,0,1,1,"","",""
0,"Ali Lenjani, Shirley J. Dyke, Ilias Bilionis, Chul Min Yeum, Kenzo Kamiya, Jongseong Choi, Xiaoyu Liu, Arindam G. Chowdhury","Towards fully automated post-event data collection and analysis: Pre-event and post-event information fusion",2020,"Engineering Structures","","","",9,"2022-07-14 14:35:32","Article","10.1016/j.engstruct.2019.109884","0141-0296","",208,,,,0,0.00,0,8,2,"","",""
0,"Manjot S. Sidhu, Deepak Ronanki, Sheldon Williamson, IEEE","State of Charge Estimation of Lithium-ion Batteries using Hybrid Machine Learning Technique",2019,"45th Annual Conference Of The Ieee Industrial Electronics Society (Iecon 2019)","","","",10,"2022-07-14 14:35:32","Proceedings Paper","","1553-572X","",,,2732,2737,0,0.00,0,4,3,"","",""
0,"Xueyuan She, Yun Long, Saibal Mukhopadhyay, IEEE","Improving Robustness of ReRAM-based Spiking Neural Network Accelerator with Stochastic Spike-timing-dependent-plasticity",2019,"2019 International Joint Conference On Neural Networks (Ijcnn)","","","",11,"2022-07-14 14:35:32","Proceedings Paper","","2161-4393","",,,,,0,0.00,0,4,3,"","",""
0,"Gideon D. P. A. Aschwanden, Jasper S. Wijnands, Jason Thompson, Kerry A. Nice, Haifeng Zhao, Mark Stevenson","Learning to walk: Modeling transportation mode choice distribution through neural networks",2021,"Environment And Planning B-Urban Analytics And City Science","","","",12,"2022-07-14 14:35:32","Article","10.1177/2399808319862571","2399-8083","",48,1,186,199,0,0.00,0,6,1,"","",""
0,"Jun Xia, Zhe Li, Sidong Zeng, Lei Zou, Dunxian She, Dandong Cheng","Perspectives on eco-water security and sustainable development in the Yangtze River Basin",2021,"Geoscience Letters","","","",13,"2022-07-14 14:35:32","Review","10.1186/s40562-021-00187-7","2196-4092","",8,1,,,0,0.00,0,6,1,"","",""
0,"Bin Hu, Zhi-Hong Guan, Guanrong Chen, C. L. Philip Chen","Neuroscience and Network Dynamics Toward Brain-Inspired Intelligence",2021,"Ieee Transactions On Cybernetics","","","",14,"2022-07-14 14:35:32","Article","10.1109/TCYB.2021.3071110","2168-2267","",,,,,0,0.00,0,4,1,"","",""
0,"Sergey Mileiko, Rishad Shafik, Alex Yakovlev, Jonathan Edwards, IEEE","A Pulse Width Modulation based Power-elastic and Robust Mixed-signal Perceptron Design",2019,"2019 Design, Automation & Test In Europe Conference & Exhibition (Date)","","","",15,"2022-07-14 14:35:32","Proceedings Paper","","1530-1591","",,,1603,1606,0,0.00,0,5,3,"","",""
0,"Gabriel Yoshikazu Oukawa, Patricia Krecl, Admir Creso Targino","Fine-scale modeling of the urban heat island: A comparison of multiple linear regression and random forest approaches",2022,"Science Of The Total Environment","","","",16,"2022-07-14 14:35:32","Article","10.1016/j.scitotenv.2021.152836","0048-9697","",815,,,,0,0.00,0,3,1,"","",""
0,"Niccolo Pescetelli","A Brief Taxonomy of Hybrid Intelligence",2021,"Forecasting","","","",17,"2022-07-14 14:35:32","Article","10.3390/forecast3030039","","",3,3,633,643,0,0.00,0,1,1,"","",""
0,"Annachiara Ruospo, Ernesto Sanchez","On the Reliability Assessment of Artificial Neural Networks Running on AI-Oriented MPSoCs",2021,"Applied Sciences-Basel","","","",18,"2022-07-14 14:35:32","Article","10.3390/app11146455","","",11,14,,,0,0.00,0,2,1,"","",""
0,"Juan Carlos Bedoya, Yubo Wang, Chen-Ching Liu","Distribution System Resilience Under Asynchronous Information Using Deep Reinforcement Learning",2021,"Ieee Transactions On Power Systems","","","",19,"2022-07-14 14:35:32","Article","10.1109/TPWRS.2021.3056543","0885-8950","",36,5,4235,4245,0,0.00,0,3,1,"","",""
0,"Enrico Collini, L. A. Ipsaro Palesi, Paolo Nesi, Gianni Pantaleo, Nicola Nocentini, Ascanio Rosi","Predicting and Understanding Landslide Events With Explainable AI",2022,"Ieee Access","","","",20,"2022-07-14 14:35:32","Article","10.1109/ACCESS.2022.3158328","2169-3536","",10,,31175,31189,0,0.00,0,6,1,"","",""
0,"Ceereena Ubaida-Mohien, Ruin Moaddel, Ann Zenobia Moore, Pei-Lun Kuo, Faraz Faghri, Ravi Tharakan, Toshiko Tanaka, Mike A. Nalls, Luigi Ferrucci","Proteomics and Epidemiological Models of Human Aging",2021,"Frontiers In Physiology","","","",21,"2022-07-14 14:35:32","Review","10.3389/fphys.2021.674013","1664-042X","",12,,,,0,0.00,0,9,1,"","",""
0,"Viviana Laetitia Minea, Marius Minea, Augustin Semenescu","EFFICIENCY OF APPLICATION MONITORING IN IMPROVING MOBILE COMMUNICATION NETWORKS' RESILIENCE - A CASE STUDY",2021,"University Politehnica Of Bucharest Scientific Bulletin Series C-Electrical Engineering And Computer Science","","","",22,"2022-07-14 14:35:32","Article","","2286-3540","",83,4,149,160,0,0.00,0,3,1,"","",""
0,"Char Sample, Sin Ming Loo, Matt Bishop, IEEE","Resilient Data An Interdisciplinary Approach",2020,"2020 Resilience Week (Rws)","","","",23,"2022-07-14 14:35:32","Proceedings Paper","","","",,,1,10,0,0.00,0,4,2,"","",""
0,"M. Ezzadeen, A. Majumdar, M. Bocquet, B. Giraud, J-P Noel, F. Andrieu, D. Querlioz, J-M Portal, IEEE","Low-Overhead Implementation of Binarized Neural Networks Employing Robust 2T2R Resistive RAM Bridges",2021,"Ieee 51st European Solid-State Device Research Conference (Essderc 2021)","","","",24,"2022-07-14 14:35:32","Proceedings Paper","10.1109/ESSDERC53440.2021.9631381","1930-8876","",,,83,86,0,0.00,0,9,1,"","",""
0,"M. Ezzadeen, A. Majumdar, M. Bocquet, B. Giraud, J-P Noel, F. Andrieu, D. Querlioz, J-M Portal, IEEE","Low-Overhead Implementation of Binarized Neural Networks Employing Robust 2T2R Resistive RAM Bridges",2021,"Esscirc 2021 - Ieee 47th European Solid State Circuits Conference (Esscirc)","","","",25,"2022-07-14 14:35:32","Proceedings Paper","10.1109/ESSCIRC53450.2021.9567742","1930-8833","",,,83,86,0,0.00,0,9,1,"","",""
0,"Christoph Kueffner, Matthias Kopyto, Annika Judith Wohlleber, Evi Hartmann","The interplay between relationships, technologies and organizational structures in enhancing supply chain resilience: empirical evidence from a Delphi study",2022,"International Journal Of Physical Distribution & Logistics Management","","","",26,"2022-07-14 14:35:32","Article","10.1108/IJPDLM-07-2021-0303","0960-0035","",,,,,0,0.00,0,4,1,"","",""
0,"Christian Jacquenet","Optimized, Automated, and Protective: An Operator's View on Future Networks",2021,"Ieee Transactions On Network And Service Management","","","",27,"2022-07-14 14:35:32","Article","10.1109/TNSM.2021.3076293","1932-4537","",18,2,1350,1359,0,0.00,0,1,1,"","",""
0,"Deeraj Nagothu, Ronghua Xu, Yu Chen, Erik Blasch, Alexander Aved","Deterring Deepfake Attacks with an Electrical Network Frequency Fingerprints Approach",2022,"Future Internet","","","",28,"2022-07-14 14:35:32","Article","10.3390/fi14050125","","",14,5,,,0,0.00,0,5,1,"","",""
0,"Mohd Zakree Ahmad Nazri, Tri Basuki Kurniawan, Abdul Razak Hamdan, Salwani Abdullah, Mohammed Azlan Mis","Taxonomy Development from Malay Text Using Firefly Bisection Algorithm",2018,"Gema Online Journal Of Language Studies","","","",29,"2022-07-14 14:35:32","Article","10.17576/gema-2018-1802-13","1675-8021","",18,2,182,201,0,0.00,0,5,4,"","",""
0,"Rafael Walter Albuquerque, Daniel Luis Mascia Vieira, Manuel Eduardo Ferreira, Lucas Pedrosa Soares, Soren Ingvor Olsen, Luciana Spinelli Araujo, Luiz Eduardo Vicente, Julio Ricardo Caetano Tymus, Cintia Palheta Balieiro, Marcelo Hiromiti Matsumoto, Carlos Henrique Grohmann","Mapping Key Indicators of Forest Restoration in the Amazon Using a Low-Cost Drone and Artificial Intelligence",2022,"Remote Sensing","","","",30,"2022-07-14 14:35:32","Article","10.3390/rs14040830","","",14,4,,,0,0.00,0,11,1,"","",""
