Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Inioluwa Deborah Raji, Andrew Smart, Rebecca N. White, Margaret Mitchell, Timnit Gebru, Ben Hutchinson, Jamila Smith-Loud, Daniel Theron, Parker Barnes, Assoc Comp Machinery","Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algorithmic Auditing",2020,"Fat* '20: Proceedings Of The 2020 Conference On Fairness, Accountability, And Transparency","","","",1,"2022-07-15 09:20:52","Proceedings Paper","10.1145/3351095.3372873","","",,,33,44,0,0.00,0,10,2,"","",""
0,"Artur D'Avila Garcez, Marco Gori, Luis C. Lamb, Luciano Serafini, Michael Spranger, Son N. Tran","NEURAL-SYMBOLIC COMPUTING: AN EFFECTIVE METHODOLOGY FOR PRINCIPLED INTEGRATION OF MACHINE LEARNING AND REASONING",2019,"Journal Of Applied Logics-Ifcolog Journal Of Logics And Their Applications","","","",2,"2022-07-15 09:20:52","Article","","2055-3706","",6,4,611,631,0,0.00,0,6,3,"","",""
0,"Naeem Iqbal, Faisal Jamil, Shabir Ahmad, DoHyeun Kim","A Novel Blockchain-Based Integrity and Reliable Veterinary Clinic Information Management System Using Predictive Analytics for Provisioning of Quality Health Services",2021,"Ieee Access","","","",3,"2022-07-15 09:20:52","Article","10.1109/ACCESS.2021.3049325","2169-3536","",9,,8069,8098,0,0.00,0,4,1,"","",""
0,"Nils Kobis, Luca D. Mossink","Artificial intelligence versus Maya Angelou: Experimental evidence that people cannot differentiate AI-generated from human-written poetry",2021,"Computers In Human Behavior","","","",4,"2022-07-15 09:20:52","Article","10.1016/j.chb.2020.106553","0747-5632","",114,,,,0,0.00,0,2,1,"","",""
0,"Niva Elkin-Koren","Contesting algorithms: Restoring the public interest in content filtering by artificial intelligence",2020,"Big Data & Society","","","",5,"2022-07-15 09:20:52","Article","10.1177/2053951720932296","2053-9517","",7,2,,,0,0.00,0,1,2,"","",""
0,"Divish Rengasamy, Benjamin C. Rothwell, Grazziela P. Figueredo","Towards a More Reliable Interpretation of Machine Learning Outputs for Safety-Critical Systems Using Feature Importance Fusion",2021,"Applied Sciences-Basel","","","",6,"2022-07-15 09:20:52","Article","10.3390/app112411854","","",11,24,,,0,0.00,0,3,1,"","",""
0,"Ramya Raghavendra, Federico Cerutti, Alun Preece","When data lie: fairness and robustness in contested environments",2018,"Next-Generation Analyst Vi","","","",7,"2022-07-15 09:20:52","Proceedings Paper","10.1117/12.2306978","0277-786X","",10653,,,,0,0.00,0,3,4,"","",""
0,"Friso Selten, Albert Meijer","Managing Algorithms for Public Value",2021,"International Journal Of Public Administration In The Digital Age","","","",8,"2022-07-15 09:20:52","Article","10.4018/IJPADA.20210101.oa9","2334-4520","",8,1,,,0,0.00,0,2,1,"","",""
0,"Yasmeen Alufaisan, Murat Kantarcioglu, Yan Zhou","Robust Transparency Against Model Inversion Attacks",2021,"Ieee Transactions On Dependable And Secure Computing","","","",9,"2022-07-15 09:20:52","Article","10.1109/TDSC.2020.3019508","1545-5971","",18,5,2061,2073,0,0.00,0,3,1,"","",""
