Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"George E. Dahl, Dong Yu, Li Deng, Alex Acero","Context-Dependent Pre-Trained Deep Neural Networks for Large-Vocabulary Speech Recognition",2012,"Ieee Transactions On Audio Speech And Language Processing","","","",1,"2022-07-15 11:16:16","Article","10.1109/TASL.2011.2134090","1558-7916","",20,1,30,42,0,0.00,0,4,10,"","",""
0,"Yandong Wen, Kaipeng Zhang, Zhifeng Li, Yu Qiao","A Discriminative Feature Learning Approach for Deep Face Recognition",2016,"Computer Vision - Eccv 2016, Pt Vii","","","",2,"2022-07-15 11:16:16","Proceedings Paper","10.1007/978-3-319-46478-7_31","0302-9743","",9911,,499,515,0,0.00,0,4,6,"","",""
0,"Fei Wang, Mengqing Jiang, Chen Qian, Shuo Yang, Cheng Li, Honggang Zhang, Xiaogang Wang, Xiaoou Tang, IEEE","Residual Attention Network for Image Classification",2017,"30th Ieee Conference On Computer Vision And Pattern Recognition (Cvpr 2017)","","","",3,"2022-07-15 11:16:16","Proceedings Paper","10.1109/CVPR.2017.683","1063-6919","",,,6450,6458,0,0.00,0,9,5,"","",""
0,"Daniel Maturana, Sebastian Scherer, IEEE","VoxNet: A 3D Convolutional Neural Network for Real-Time Object Recognition",2015,"2015 Ieee/Rsj International Conference On Intelligent Robots And Systems (Iros)","","","",4,"2022-07-15 11:16:16","Proceedings Paper","","2153-0858","",,,922,928,0,0.00,0,3,7,"","",""
0,"V. F. Rodriguez-Galiano, B. Ghimire, J. Rogan, M. Chica-Olmo, J. P. Rigol-Sanchez","An assessment of the effectiveness of a random forest classifier for land-cover classification",2012,"Isprs Journal Of Photogrammetry And Remote Sensing","","","",5,"2022-07-15 11:16:16","Article","10.1016/j.isprsjprs.2011.11.002","0924-2716","",67,,93,104,0,0.00,0,5,10,"","",""
0,"Chao Ma, Jia-Bin Huang, Xiaokang Yang, Ming-Hsuan Yang, IEEE","Hierarchical Convolutional Features for Visual Tracking",2015,"2015 Ieee International Conference On Computer Vision (Iccv)","","","",6,"2022-07-15 11:16:16","Proceedings Paper","10.1109/ICCV.2015.352","1550-5499","",,,3074,3082,0,0.00,0,5,7,"","",""
0,"G Camps-Valls, L Bruzzone","Kernel-based methods for hyperspectral image classification",2005,"Ieee Transactions On Geoscience And Remote Sensing","","","",7,"2022-07-15 11:16:16","Article","10.1109/TGRS.2005.846154","0196-2892","",43,6,1351,1362,0,0.00,0,2,17,"","",""
0,"Alex Kendall, Matthew Grimes, Roberto Cipolla, IEEE","PoseNet: A Convolutional Network for Real-Time 6-DOF Camera Relocalization",2015,"2015 Ieee International Conference On Computer Vision (Iccv)","","","",8,"2022-07-15 11:16:16","Proceedings Paper","10.1109/ICCV.2015.336","1550-5499","",,,2938,2946,0,0.00,0,4,7,"","",""
0,"Wei-Sheng Lai, Jia-Bin Huang, Narendra Ahuja, Ming-Hsuan Yang, IEEE","Deep Laplacian Pyramid Networks for Fast and Accurate Super-Resolution",2017,"30th Ieee Conference On Computer Vision And Pattern Recognition (Cvpr 2017)","","","",9,"2022-07-15 11:16:16","Proceedings Paper","10.1109/CVPR.2017.618","1063-6919","",,,5835,5843,0,0.00,0,5,5,"","",""
0,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun","Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition",2015,"Ieee Transactions On Pattern Analysis And Machine Intelligence","","","",10,"2022-07-15 11:16:16","Article","10.1109/TPAMI.2015.2389824","0162-8828","",37,9,1904,1916,0,0.00,0,4,7,"","",""
0,"Lucia Maddalena, Alfredo Petrosino","A self-organizing approach to background subtraction for visual surveillance applications",2008,"Ieee Transactions On Image Processing","","","",11,"2022-07-15 11:16:16","Article","10.1109/TIP.2008.924285","1057-7149","",17,7,1168,1177,0,0.00,0,2,14,"","",""
0,"JD Olden, MK Joy, RG Death","An accurate comparison of methods for quantifying variable importance in artificial neural networks using simulated data",2004,"Ecological Modelling","","","",12,"2022-07-15 11:16:16","Article","10.1016/j.ecolmodel.2004.03.013","0304-3800","",178,3,389,397,0,0.00,0,3,18,"","",""
0,"Yi Sun, Xiaogang Wang, Xiaoou Tang, IEEE","Deeply learned face representations are sparse, selective, and robust",2015,"2015 Ieee Conference On Computer Vision And Pattern Recognition (Cvpr)","","","",13,"2022-07-15 11:16:16","Proceedings Paper","","1063-6919","",,,2892,2900,0,0.00,0,4,7,"","",""
0,"Mohammadreza Asghari Oskoei, Huosheng Hu","Support vector machine-based classification scheme for myoelectric control applied to upper limb",2008,"Ieee Transactions On Biomedical Engineering","","","",14,"2022-07-15 11:16:16","Article","10.1109/TBME.2008.919734","0018-9294","",55,8,1956,1965,0,0.00,0,2,14,"","",""
0,"YH Huang, KB Englehart, B Hudgins, ADC Chan","A Gaussian mixture model based classification scheme for myoelectric control of powered upper limb prostheses",2005,"Ieee Transactions On Biomedical Engineering","","","",15,"2022-07-15 11:16:16","Article","10.1109/TBME.2005.856295","0018-9294","",52,11,1801,1811,0,0.00,0,4,17,"","",""
0,"E Byvatov, U Fechner, J Sadowski, G Schneider","Comparison of support vector machine and artificial neural network systems for drug/nondrug classification",2003,"Journal Of Chemical Information And Computer Sciences","","","",16,"2022-07-15 11:16:16","Article","10.1021/ci0341161","0095-2338","",43,6,1882,1889,0,0.00,0,4,19,"","",""
0,"IN Daliakopoulos, P Coulibaly, IK Tsanis","Groundwater level forecasting using artificial neural networks",2005,"Journal Of Hydrology","","","",17,"2022-07-15 11:16:16","Article","10.1016/j.jhydrol.2004.12.001","0022-1694","",309,1,229,240,0,0.00,0,3,17,"","",""
0,"Durdu Oemer Faruk","A hybrid neural network and ARIMA model for water quality time series prediction",2010,"Engineering Applications Of Artificial Intelligence","","","",18,"2022-07-15 11:16:16","Article","10.1016/j.engappai.2009.09.015","0952-1976","",23,4,586,594,0,0.00,0,1,12,"","",""
0,"JE Dayhoff, JM DeLeo","Artificial neural networks - Opening the black box",2001,"Cancer","","","",19,"2022-07-15 11:16:16","Article","","0008-543X","",91,8,1615,1635,0,0.00,0,2,21,"","",""
0,"Samanwoy Ghosh-Dastidar, Hojat Adeli, Nahid Dadmehr","Principal component analysis-enhanced cosine radial basis function neural network for robust epilepsy and seizure detection",2008,"Ieee Transactions On Biomedical Engineering","","","",20,"2022-07-15 11:16:16","Article","10.1109/TBME.2007.905490","0018-9294","",55,2,512,518,0,0.00,0,3,14,"","",""
0,"Alvaro Fuentes, Sook Yoon, Sang Cheol Kim, Dong Sun Park","A Robust Deep-Learning-Based Detector for Real-Time Tomato Plant Diseases and Pests Recognition",2017,"Sensors","","","",21,"2022-07-15 11:16:16","Article","10.3390/s17092022","","",17,9,,,0,0.00,0,4,5,"","",""
