Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Chen Lu, Zhen-Ya Wang, Wei -Li Qin, Jian Ma","Fault diagnosis of rotary machinery components using a stacked denoising autoencoder-based health state identification",2017,"Signal Processing","","","",1,"2022-07-13 14:06:09","Article","10.1016/j.sigpro.2016.07.028","0165-1684","",130,,377,388,0,0.00,0,4,5,"","",""
0,"J-M. Bourinet, F. Deheeger, M. Lemaire","Assessing small failure probabilities by combined subset simulation and Support Vector Machines",2011,"Structural Safety","","","",2,"2022-07-13 14:06:09","Article","10.1016/j.strusafe.2011.06.001","0167-4730","",33,6,343,353,0,0.00,0,3,11,"","",""
0,"Taha Hassan, Fahad Javed, Naveed Arshad","An Empirical Investigation of V-I Trajectory Based Load Signatures for Non-Intrusive Load Monitoring",2014,"Ieee Transactions On Smart Grid","","","",3,"2022-07-13 14:06:09","Article","10.1109/TSG.2013.2271282","1949-3053","",5,2,870,878,0,0.00,0,3,8,"","",""
0,"Mengshi Zhang, Yuqun Zhang, Lingming Zhang, Cong Liu, Sarfraz Khurshid","DeepRoad: GAN-Based Metamorphic Testing and Input Validation Framework for Autonomous Driving Systems",2018,"Proceedings Of The 2018 33rd Ieee/Acm International Conference On Automted Software Engineering (Ase' 18)","","","",4,"2022-07-13 14:06:09","Proceedings Paper","10.1145/3238147.3238187","1527-1366","",,,132,142,0,0.00,0,5,4,"","",""
0,"Yan Xu, Zhao Yang Dong, Jun Hua Zhao, Pei Zhang, Kit Po Wong","A Reliable Intelligent System for Real-Time Dynamic Security Assessment of Power Systems",2012,"Ieee Transactions On Power Systems","","","",5,"2022-07-13 14:06:09","Article","10.1109/TPWRS.2012.2183899","0885-8950","",27,3,1253,1263,0,0.00,0,5,10,"","",""
0,"Wentao Mao, Ling He, Yunju Yan, Jinwan Wang","Online sequential prediction of bearings imbalanced fault diagnosis by extreme learning machine",2017,"Mechanical Systems And Signal Processing","","","",6,"2022-07-13 14:06:09","Article","10.1016/j.ymssp.2016.06.024","0888-3270","",83,,450,473,0,0.00,0,4,5,"","",""
0,"Thomas Oommen, Debasmita Misra, Navin K. C. Twarakavi, Anupma Prakash, Bhaskar Sahoo, Sukumar Bandopadhyay","An objective analysis of Support Vector Machine based classification for remote sensing",2008,"Mathematical Geosciences","","","",7,"2022-07-13 14:06:09","Article","10.1007/s11004-008-9156-6","1874-8961","",40,4,409,424,0,0.00,0,6,14,"","",""
0,"Wan-Lei Zhao, Chong-Wah Ngo, Hung-Khoon Tan, Xiao Wu","Near-duplicate keyframe identification with interest point matching and pattern learning",2007,"Ieee Transactions On Multimedia","","","",8,"2022-07-13 14:06:09","Article","10.1109/TMM.2007.898928","1520-9210","",9,5,1037,1048,0,0.00,0,4,15,"","",""
0,"S Yang, J Yuan, J Ni","The improvement of thermal error modeling and compensation on machine tools by CMAC neural network",1996,"International Journal Of Machine Tools & Manufacture","","","",9,"2022-07-13 14:06:09","Article","","0890-6955","",36,4,527,537,0,0.00,0,3,26,"","",""
0,"Alex Zwanenburg","Radiomics in nuclear medicine: robustness, reproducibility, standardization, and how to avoid data analysis traps and replication crisis",2019,"European Journal Of Nuclear Medicine And Molecular Imaging","","","",10,"2022-07-13 14:06:09","Article","10.1007/s00259-019-04391-8","1619-7070","",46,13,2638,2655,0,0.00,0,1,3,"","",""
0,"Petr Somol, Jana Novovicova","Evaluating Stability and Comparing Output of Feature Selectors that Optimize Feature Subset Cardinality",2010,"Ieee Transactions On Pattern Analysis And Machine Intelligence","","","",11,"2022-07-13 14:06:09","Article","10.1109/TPAMI.2010.34","0162-8828","",32,11,1921,1939,0,0.00,0,2,12,"","",""
0,"A VARSEK, T URBANCIC, B FILIPIC","GENETIC ALGORITHMS IN CONTROLLER-DESIGN AND TUNING",1993,"Ieee Transactions On Systems Man And Cybernetics","","","",12,"2022-07-13 14:06:09","Article","","0018-9472","",23,5,1330,1339,0,0.00,0,3,29,"","",""
0,"Francesco Granata, Stefano Papirio, Giovanni Esposito, Rudy Gargano, Giovanni de Marinis","Machine Learning Algorithms for the Forecasting of Wastewater Quality Indicators",2017,"Water","","","",13,"2022-07-13 14:06:09","Article","10.3390/w9020105","2073-4441","",9,2,,,0,0.00,0,5,5,"","",""
0,"Jochem Verrelst, Luis Alonso, Juan Pablo Rivera Caicedo, Jose Moreno, Gustavo Camps-Valls","Gaussian Process Retrieval of Chlorophyll Content From Imaging Spectroscopy Data",2013,"Ieee Journal Of Selected Topics In Applied Earth Observations And Remote Sensing","","","",14,"2022-07-13 14:06:09","Article","10.1109/JSTARS.2012.2222356","1939-1404","",6,2,867,874,0,0.00,0,5,9,"","",""
0,"Nitin Anand Shrivastava, Bijaya Ketan Panigrahi","A hybrid wavelet-ELM based short term price forecasting for electricity markets",2014,"International Journal Of Electrical Power & Energy Systems","","","",15,"2022-07-13 14:06:09","Article","10.1016/j.ijepes.2013.08.023","0142-0615","",55,,41,50,0,0.00,0,2,8,"","",""
0,"Janne M. Hahne, Marko Markovic, Dario Farina","User adaptation in Myoelectric Man-Machine Interfaces",2017,"Scientific Reports","","","",16,"2022-07-13 14:06:09","Article","10.1038/s41598-017-04255-x","2045-2322","",7,,,,0,0.00,0,3,5,"","",""
0,"Mohamed Ahmed, Mohamed Abdel-Aty","A data fusion framework for real-time risk assessment on freeways",2013,"Transportation Research Part C-Emerging Technologies","","","",17,"2022-07-13 14:06:09","Article","10.1016/j.trc.2012.09.002","0968-090X","",26,,203,213,0,0.00,0,2,9,"","",""
0,"He Fang, Xianbin Wang, Lajos Hanzo","Learning-Aided Physical Layer Authentication as an Intelligent Process",2019,"Ieee Transactions On Communications","","","",18,"2022-07-13 14:06:09","Article","10.1109/TCOMM.2018.2881117","0090-6778","",67,3,2260,2273,0,0.00,0,3,3,"","",""
0,"Dianhui Wang, Monther Alhamdoosh","Evolutionary extreme learning machine ensembles with size control",2013,"Neurocomputing","","","",19,"2022-07-13 14:06:09","Article","10.1016/j.neucom.2011.12.046","0925-2312","",102,,98,110,0,0.00,0,2,9,"","",""
0,"Sokratis Papadopoulos, Constantine E. Kontokosta","Grading buildings on energy performance using city benchmarking data",2019,"Applied Energy","","","",20,"2022-07-13 14:06:09","Article","10.1016/j.apenergy.2018.10.053","0306-2619","",233,,244,253,0,0.00,0,2,3,"","",""
0,"Hongmao Sun, Menghang Xia, Christopher P. Austin, Ruili Huang","Paradigm Shift in Toxicity Testing and Modeling",2012,"Aaps Journal","","","",21,"2022-07-13 14:06:09","Review","10.1208/s12248-012-9358-1","1550-7416","",14,3,473,480,0,0.00,0,4,10,"","",""
0,"Zhiwen Yu, Hantao Chen, Jane You, Guoqiang Han, Le Li","Hybrid Fuzzy Cluster Ensemble Framework for Tumor Clustering from Biomolecular Data",2013,"Ieee-Acm Transactions On Computational Biology And Bioinformatics","","","",22,"2022-07-13 14:06:09","Article","10.1109/TCBB.2013.59","1545-5963","",10,3,657,670,0,0.00,0,5,9,"","",""
0,"Durga Prasad Sahoo, Debdeep Mukhopadhyay, Rajat Subhra Chakraborty, Phuong Ha Nguyen","A Multiplexer-Based Arbiter PUF Composition with Enhanced Reliability and Security",2018,"Ieee Transactions On Computers","","","",23,"2022-07-13 14:06:09","Article","10.1109/TC.2017.2749226","0018-9340","",67,3,403,417,0,0.00,0,4,4,"","",""
0,"Yan Xu, Yuanyu Dai, Zhao Yang Dong, Rui Zhang, Ke Meng","Extreme learning machine-based predictor for real-time frequency stability assessment of electric power systems",2013,"Neural Computing & Applications","","","",24,"2022-07-13 14:06:09","Article","10.1007/s00521-011-0803-3","0941-0643","",22,3,501,508,0,0.00,0,5,9,"","",""
0,"Kamran Javed, Rafael Gouriveau, Xiang Li, Noureddine Zerhouni","Tool wear monitoring and prognostics challenges: a comparison of connectionist methods toward an adaptive ensemble model",2018,"Journal Of Intelligent Manufacturing","","","",25,"2022-07-13 14:06:09","Article","10.1007/s10845-016-1221-2","0956-5515","",29,8,1873,1890,0,0.00,0,4,4,"","",""
