Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
24,"K.K.H. Ng","A systematic literature review on intelligent automation: Aligning concepts from theory, practice, and future perspectives",2021,"Advanced Engineering Informatics","","https://api.elsevier.com/content/article/eid/1-s2.0-S147403462100001X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099458674&origin=inward",1,"2022-07-12 16:32:07","Article","10.1016/j.aei.2021.101246","1474-0346","https://api.elsevier.com/content/abstract/scopus_id/85099458674",47,,,,24,24.00,24,1,1,"","",""
0,"","MAICS 2012 - Proceedings of the 23rd Midwest Artificial Intelligence and Cognitive Science Conference 2012",2012,"CEUR Workshop Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84892526919&origin=inward",2,"2022-07-12 16:32:07","Conference Review","","1613-0073","https://api.elsevier.com/content/abstract/scopus_id/84892526919",841,,,,0,0.00,0,0,10,"","",""
