Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"A. Noack","An Empirical Study on the Relation Between Network Interpretability and Adversarial Robustness",2021,"SN Computer Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118884708&origin=inward",1,"2022-07-12 16:27:54","Article","10.1007/s42979-020-00390-x","2662-995X","https://api.elsevier.com/content/abstract/scopus_id/85118884708",2,1,,,4,4.00,4,1,1,"","",""
3,"R. Zhang","A Machine-Learning Approach for Semantically-Enriched Building-Code Sentence Generation for Automatic Semantic Analysis",2020,"Construction Research Congress 2020: Computer Applications - Selected Papers from the Construction Research Congress 2020","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091044262&origin=inward",2,"2022-07-12 16:27:54","Conference Paper","","","https://api.elsevier.com/content/abstract/scopus_id/85091044262",,,1261,1270,3,1.50,3,1,2,"","",""
1,"S. Perrier","Characterization of hydraulic fracture barriers in shale play through core-log integration: Practical integration of machine learning and geological domain expertise",2019,"Society of Petroleum Engineers - Abu Dhabi International Petroleum Exhibition and Conference 2019, ADIP 2019","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086689314&origin=inward",3,"2022-07-12 16:27:54","Conference Paper","10.2118/197307-ms","","https://api.elsevier.com/content/abstract/scopus_id/85086689314",,,,,1,0.33,1,1,3,"","",""
0,"I. McLane","Comprehensive Analysis System for Automated Respiratory Cycle Segmentation and Crackle Peak Detection",2022,"IEEE Journal of Biomedical and Health Informatics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118582479&origin=inward",4,"2022-07-12 16:27:54","Article","10.1109/JBHI.2021.3123353","2168-2194","https://api.elsevier.com/content/abstract/scopus_id/85118582479",26,4,1847,1860,0,0.00,0,1,1,"","",""
